name,latitude,longitude
'SCEA la Croix des Vignes',47.8228,1.30242
'SCEA Les Vergers',47.80865,1.38591
'EARL DAVEAU',47.79569,1.44973
'Arlesthis',47.834,1.42053
'GAUTHIER Hugues',47.82304,1.49904
client_1,47.85851724789479,1.50530734152391
client_2,47.67244916414674,1.4532110027332448
client_3,47.82100021723766,1.1434341042961735
client_4,47.76806377657762,1.2155085091882083
client_5,47.898773723472665,1.3976884940145293
client_6,47.77177298884118,1.3659595546398582
client_7,47.886915325700215,1.648201874907603
client_8,47.65769525553992,1.4711913844904063
client_9,47.795404553145396,1.33374122611144
client_10,47.97897256965943,1.4461949257523432
