name,latitude,longitude
'AgroPaul',47.41906,1.44406
client_1,47.268069579646784,1.5936805273984418
client_2,47.47145839352513,1.4149475233864341
client_3,47.24698474846609,1.5123852205995783
client_4,47.423162500172964,1.2036524964981221
client_5,47.47343366959078,1.5971835200016233
client_6,47.35127588654378,1.4995824645345788
client_7,47.35509944702602,1.5796348102511406
client_8,47.35912766412325,1.4852462272961562
client_9,47.57027592897452,1.2745843834961248
client_10,47.441380624222575,1.5116737400600684
client_11,47.47034789234292,1.49804911740871
client_12,47.32027340832374,1.2248037116148653
