name,latitude,longitude
'ALLAIRE Daniel SAS',47.85154,2.37734
client_1,47.837571607741445,2.3707354598951262
client_2,47.859277935916865,2.3683333089066934
client_3,47.839037773495946,2.3918828679381243
client_4,47.86362299120565,2.316237475370496
client_5,47.851313913602105,2.3443209948902766
client_6,47.84794020390003,2.3390816942319215
client_7,47.85164474501957,2.3778126412939247
client_8,47.84341218874751,2.3505958512409757
client_9,47.825773053995015,2.3261641310894303
client_10,47.851293734231994,2.310754050557172
