name,latitude,longitude
'SCEA la Croix des Vignes',47.8228,1.30242
'SCEA Les Vergers',47.80865,1.38591
'EARL DAVEAU',47.79569,1.44973
client_1,47.90861204576449,1.4654715300332137
client_2,47.86279345181592,1.669050750186044
client_3,47.74888002035036,1.3188671509223342
client_4,47.92312294730125,1.429838382275484
client_5,47.90694022468723,1.5659105084989218
client_6,47.94141159835844,1.1382897959879654
client_7,47.73168330178582,1.1895180499304723
client_8,47.884848135800034,1.7401174060675488
client_9,47.88920728961282,1.3918284440813342
client_10,47.657157107363545,1.2241430262821507
